,Rooms,Floor,TotalFloor,KitchenArea,LivingArea,TotalArea,WaterHeatType,Price,LocNum,OfferType_від власника,OfferType_від посередника,OfferType_від представника господаря (без комісійних),Walls_блочно-кирпичный,Walls_газоблок,Walls_железобетон,Walls_керамзитобетон,Walls_монолитно-каркасный,Walls_монолитно-кирпичный,Walls_монолитный железобетон,Walls_моноліт,Walls_монолітно-блоковий,Walls_панель,Walls_піноблок,Walls_силікатна цегла,Walls_цегла
336,1.0,12.0,13.0,6.0,18.0,24.0,False,9.392745258631441,4898.200000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
337,2.0,17.0,25.0,15.0,32.0,64.0,False,9.472781556562168,4644.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
338,2.0,3.0,5.0,8.0,31.0,46.0,False,9.305741456739435,3282.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
339,2.0,4.0,24.0,25.0,15.0,64.0,False,9.798182590890704,3561.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
340,2.0,18.0,25.0,16.0,46.0,64.0,False,9.711176264112805,3110.6000000000013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
341,2.0,15.0,25.0,15.0,42.0,65.0,False,9.433563920090563,4429.4000000000015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
342,1.0,3.0,9.0,7.0,20.0,37.0,False,8.699681400989514,7613.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
343,2.0,7.0,22.0,19.0,48.0,108.0,True,9.90353755128617,2131.2000000000007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
344,3.0,4.0,9.0,9.0,45.0,60.0,False,9.392745258631441,2109.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
345,2.0,12.0,24.0,15.0,37.0,64.0,False,9.546884034617925,3699.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
346,2.0,2.0,5.0,8.0,33.0,48.0,False,8.962007209588313,6935.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
347,3.0,5.0,10.0,9.0,43.0,81.0,False,9.392745258631441,4988.200000000002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
348,2.0,34.0,35.0,15.0,30.0,70.0,False,9.61587214452889,4564.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
349,3.0,1.0,16.0,9.0,44.0,74.0,False,9.210440366976517,6925.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
350,3.0,3.0,24.0,20.0,60.0,117.0,False,9.798182590890704,6322.400000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
351,2.0,5.0,9.0,6.0,34.0,59.0,False,8.922791623969637,8264.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
352,2.0,8.0,12.0,8.5,30.0,60.0,True,9.798182590890704,2491.2000000000007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
353,1.0,4.0,4.0,6.0,25.0,31.0,False,9.305741456739435,626.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
354,2.0,2.0,3.0,6.0,26.0,42.0,False,9.259225769705994,4007.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
355,2.0,2.0,2.0,7.0,7.0,49.0,False,8.699681400989514,7498.800000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
356,3.0,10.0,24.0,34.0,30.0,88.0,False,9.741027444837728,7388.000000000001,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
357,1.0,7.0,18.0,15.0,25.0,52.0,False,9.350189267092581,6153.800000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
358,3.0,3.0,17.0,8.0,44.0,66.0,False,9.546884034617925,4375.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
359,1.0,9.0,16.0,14.0,34.0,73.0,False,9.472781556562168,8488.800000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
360,1.0,11.0,15.0,12.0,27.0,50.0,False,9.392745258631441,4747.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
